School Attendance after Grade 3 (6 - 24 yo),Number of Health Facility,Occurence of Armed Conflict,Household with Concrete Walls Proportion,Access to Electricity Proportion,Access to Treated Water Proportion,Owned House and Lot Proportion,Has Copy Birth Certificate Proportion 6 - 24 yo,Married Proportion 6 - 24 yo,Overseas Worker in Family Proportion
2,1,1,0.4108322324966975,0.9643328929986792,0.9643328929986792,0.4346103038309115,0.7134697762970015,0.034220532319391636,0.06869220607661823
2,1,1,0.11384976525821595,0.955399061032864,0.9284037558685446,0.1936619718309859,0.169052488070893,0.07828454731109598,0.05868544600938967
3,1,1,0.07240704500978473,0.8356164383561644,0.9960861056751468,0.21135029354207435,0.7659774436090225,0.041431261770244816,0.1506849315068493
2,1,1,0.062200956937799035,0.4657097288676236,0.07814992025518341,0.20095693779904306,0.5922444183313749,0.060869565217391314,0.07017543859649122
3,1,1,0.3598615916955017,0.972318339100346,0.020761245674740483,0.2283737024221453,1.0,0.05952380952380953,0.03806228373702422
3,0,0,0.2857142857142857,0.65625,0.89375,0.8375,0.792156862745098,0.1176470588235294,0.08074534161490682
3,0,0,0.4199134199134199,0.7922077922077922,0.06926406926406926,0.7402597402597403,0.4336633663366337,0.2255489021956088,0.10822510822510822
3,0,0,0.297029702970297,0.3960396039603961,0.15841584158415842,0.5742574257425742,0.3141592920353982,0.07929515418502202,0.099009900990099
3,0,0,0.5202702702702703,0.8709677419354839,0.8294930875576036,0.6129032258064516,0.6927083333333334,0.08844953173777315,0.13288288288288289
3,0,0,0.15584415584415584,0.7197802197802198,0.058608058608058615,0.11904761904761905,0.4215139442231076,0.10358565737051792,0.11355311355311355
3,0,0,0.21029082774049213,0.8310502283105022,0.6095890410958904,0.2123287671232877,0.5467349551856594,0.1556122448979592,0.057777777777777775
2,0,0,0.1348464619492657,0.6902536715620827,0.8064085447263017,0.27636849132176233,0.5505857294994675,0.1412639405204461,0.1081441922563418
3,0,0,0.1256544502617801,0.6559139784946236,0.016129032258064516,0.6182795698924731,0.8033898305084746,0.11904761904761905,0.015706806282722512
3,0,0,0.35144927536231885,0.8228782287822878,0.06642066420664207,0.6568265682656826,0.5952380952380952,0.11192660550458716,0.07608695652173914
3,0,0,0.2433333333333333,0.6291390728476821,0.2052980132450331,0.9900662251655628,0.6293279022403259,0.15071283095723015,0.4205298013245033
2,0,0,0.2673267326732673,0.5495049504950495,0.9603960396039604,0.3762376237623761,0.5692307692307692,0.16358024691358025,0.06930693069306931
3,0,0,0.16853932584269662,0.7740112994350282,0.6327683615819211,0.4915254237288136,0.7620689655172413,0.09342560553633218,0.02247191011235955
3,0,0,0.4720812182741117,0.8071065989847716,0.07106598984771574,0.5736040609137056,0.812987012987013,0.09660574412532637,0.2233502538071066
3,0,0,0.2612244897959184,0.5959183673469388,0.09387755102040816,0.16326530612244894,0.5367047308319739,0.0851063829787234,0.08571428571428573
3,0,0,0.4125766871165644,0.8256880733944955,0.2324159021406728,0.3715596330275229,0.7322175732217573,0.10142497904442582,0.01529051987767584
4,0,0,0.28640776699029125,0.9466019417475728,0.4223300970873786,0.529126213592233,0.8174603174603174,0.09066666666666667,0.009708737864077669
2,0,0,0.1821138211382114,0.6650406504065041,0.591869918699187,0.13008130081300814,0.4941588785046729,0.12580456407255705,0.08292682926829269
3,1,0,0.3852295409181637,0.9071146245059288,0.8952569169960475,0.7233201581027668,0.8167860798362334,0.14562118126272913,0.13840155945419105
3,0,0,0.4747899159663865,0.8535564853556485,0.8410041841004184,0.7698744769874477,0.9354005167958656,0.09536082474226804,0.075
