Pro_Name,Pro_Code,Bgy_Name,Bgy_Code
Lanao Del Sur,PH153600000,Poblacion (Bubong),PH153606007
Lanao Del Sur,PH153600000,Bubonga Didagun,PH153606008
Lanao Del Sur,PH153600000,Carigongan,PH153606011
Lanao Del Sur,PH153600000,Bacolod,PH153606012
Lanao Del Sur,PH153600000,Dilabayan,PH153606014
Lanao Del Sur,PH153600000,Dimapatoy,PH153606015
Lanao Del Sur,PH153600000,Dimayon Proper,PH153606017
Lanao Del Sur,PH153600000,Diolangan,PH153606019
Lanao Del Sur,PH153600000,Guiguikun,PH153606022
Lanao Del Sur,PH153600000,Dibarosan,PH153606023
Lanao Del Sur,PH153600000,Madanding,PH153606027
Lanao Del Sur,PH153600000,Malungun,PH153606028
Lanao Del Sur,PH153600000,Masorot,PH153606030
Lanao Del Sur,PH153600000,Matampay Dimarao,PH153606031
Lanao Del Sur,PH153600000,Miabalawag,PH153606032
Lanao Del Sur,PH153600000,Montiaan,PH153606033
Lanao Del Sur,PH153600000,Pagayawan,PH153606035
Lanao Del Sur,PH153600000,Palao,PH153606037
Lanao Del Sur,PH153600000,Panalawan,PH153606038
Lanao Del Sur,PH153600000,Pantar,PH153606039
Lanao Del Sur,PH153600000,Pendogoan,PH153606041
Lanao Del Sur,PH153600000,Polayagan,PH153606045
Lanao Del Sur,PH153600000,Ramain Bubong,PH153606048
Lanao Del Sur,PH153600000,Rogero,PH153606049
Lanao Del Sur,PH153600000,Salipongan,PH153606051
Lanao Del Sur,PH153600000,Sunggod,PH153606052
Lanao Del Sur,PH153600000,Taboro,PH153606053
Lanao Del Sur,PH153600000,Dalaon,PH153606054
Lanao Del Sur,PH153600000,Dimayon,PH153606058
Lanao Del Sur,PH153600000,Pindolonan,PH153606059
Lanao Del Sur,PH153600000,Punud,PH153606060
Lanao Del Sur,PH153600000,Butig Proper,PH153607012
Lanao Del Sur,PH153600000,Cabasaran,PH153607013
Lanao Del Sur,PH153600000,Coloyan Tambo,PH153607016
Lanao Del Sur,PH153600000,Dilimbayan,PH153607019
Lanao Del Sur,PH153600000,Dolangan,PH153607022
Lanao Del Sur,PH153600000,Pindolonan,PH153607041
Lanao Del Sur,PH153600000,Bayabao Poblacion,PH153607044
Lanao Del Sur,PH153600000,Poktan,PH153607045
Lanao Del Sur,PH153600000,Ragayan,PH153607046
Lanao Del Sur,PH153600000,Raya,PH153607047
Lanao Del Sur,PH153600000,Samer,PH153607051
Lanao Del Sur,PH153600000,Sandab Madaya,PH153607052
Lanao Del Sur,PH153600000,Sundig,PH153607056
Lanao Del Sur,PH153600000,Tiowi,PH153607060
Lanao Del Sur,PH153600000,Timbab,PH153607062
Lanao Del Sur,PH153600000,Malungun,PH153607063
Lanao Del Sur,PH153600000,Bagoaingud,PH153609001
Lanao Del Sur,PH153600000,Balintad,PH153609002
Lanao Del Sur,PH153600000,Barit,PH153609003
Lanao Del Sur,PH153600000,Bato Batoray,PH153609004
Lanao Del Sur,PH153600000,Campong a Raya,PH153609005
Lanao Del Sur,PH153600000,Gadongan,PH153609006
Lanao Del Sur,PH153600000,Gui,PH153609007
Lanao Del Sur,PH153600000,Linuk,PH153609009
Lanao Del Sur,PH153600000,Lumbac,PH153609010
Lanao Del Sur,PH153600000,Macabao,PH153609011
Lanao Del Sur,PH153600000,Macaguiling,PH153609012
Lanao Del Sur,PH153600000,Pagalongan,PH153609013
Lanao Del Sur,PH153600000,Panggawalupa,PH153609014
Lanao Del Sur,PH153600000,Pantaon A,PH153609015
Lanao Del Sur,PH153600000,Para-aba,PH153609016
Lanao Del Sur,PH153600000,Pindolonan,PH153609017
Lanao Del Sur,PH153600000,Poblacion,PH153609018
Lanao Del Sur,PH153600000,Baya,PH153609019
Lanao Del Sur,PH153600000,Sogod Madaya,PH153609020
Lanao Del Sur,PH153600000,Tabuan,PH153609021
Lanao Del Sur,PH153600000,Taganonok,PH153609022
Lanao Del Sur,PH153600000,Taliogon,PH153609023
Lanao Del Sur,PH153600000,Masolun,PH153609027
Lanao Del Sur,PH153600000,Lumbacaingud,PH153609029
Lanao Del Sur,PH153600000,Sekun Matampay,PH153609030
Lanao Del Sur,PH153600000,Dapaan,PH153609031
Lanao Del Sur,PH153600000,Balintad A,PH153609032
Lanao Del Sur,PH153600000,Barorao,PH153609033
Lanao Del Sur,PH153600000,Campong Sabela,PH153609034
Lanao Del Sur,PH153600000,Pangadapun,PH153609051
Lanao Del Sur,PH153600000,Pantaon,PH153609052
Lanao Del Sur,PH153600000,Pamalian,PH153609053
Lanao Del Sur,PH153600000,Cormatan,PH153610003
Lanao Del Sur,PH153600000,Dimagaling (Dimagalin Proper),PH153610007
Lanao Del Sur,PH153600000,Dimunda,PH153610008
Lanao Del Sur,PH153600000,Doronan,PH153610009
Lanao Del Sur,PH153600000,Poblacion (Kapai Proper),PH153610012
Lanao Del Sur,PH153600000,Malna Proper,PH153610017
Lanao Del Sur,PH153600000,Pagalongan,PH153610018
Lanao Del Sur,PH153600000,Parao,PH153610019
Lanao Del Sur,PH153600000,Kasayanan,PH153610025
Lanao Del Sur,PH153600000,Kasayanan West,PH153610026
Lanao Del Sur,PH153600000,Dilabayan,PH153610029
Lanao Del Sur,PH153600000,Dilimbayan,PH153610030
Lanao Del Sur,PH153600000,Kibolos,PH153610031
Lanao Del Sur,PH153600000,Kining,PH153610032
Lanao Del Sur,PH153600000,Pindolonan,PH153610033
Lanao Del Sur,PH153600000,Babayog,PH153610034
Lanao Del Sur,PH153600000,Gadongan,PH153610035
Lanao Del Sur,PH153600000,Lidasan,PH153610036
Lanao Del Sur,PH153600000,Macadar,PH153610037
Lanao Del Sur,PH153600000,Pantaon,PH153610038
Lanao Del Sur,PH153600000,Bacolod I,PH153611003
Lanao Del Sur,PH153600000,Bacolod II,PH153611004
Lanao Del Sur,PH153600000,Bantayao,PH153611008
Lanao Del Sur,PH153600000,Barit,PH153611009
Lanao Del Sur,PH153600000,Baugan,PH153611011
Lanao Del Sur,PH153600000,Buad Lumbac,PH153611019
Lanao Del Sur,PH153600000,Cabasaran,PH153611020
Lanao Del Sur,PH153600000,Calilangan,PH153611021
Lanao Del Sur,PH153600000,Carandangan-Mipaga,PH153611026
Lanao Del Sur,PH153600000,Cormatan Langban,PH153611027
Lanao Del Sur,PH153600000,Dialongana,PH153611031
Lanao Del Sur,PH153600000,Dilindongan-Cadayonan,PH153611035
Lanao Del Sur,PH153600000,Gadongan,PH153611039
