Pro_Name,Pro_Code,Bgy_Name,Bgy_Code,Number Of Households,Light Source,Value
Lanao Del Sur,PH153600000,Soldaroro,PH153605028,113,Electricity,0
Lanao Del Sur,PH153600000,Tambac,PH153605030,118,Electricity,2
Lanao Del Sur,PH153600000,Timbangan,PH153605033,104,Electricity,0
Lanao Del Sur,PH153600000,Tuca,PH153605034,75,Electricity,3
Lanao Del Sur,PH153600000,Bagoaingud,PH153606002,35,Electricity,35
Lanao Del Sur,PH153600000,Bansayan,PH153606003,77,Electricity,77
Lanao Del Sur,PH153600000,Basingan,PH153606004,163,Electricity,96
Lanao Del Sur,PH153600000,Batangan,PH153606005,139,Electricity,139
Lanao Del Sur,PH153600000,Bualan,PH153606006,97,Electricity,97
Lanao Del Sur,PH153600000,Poblacion (Bubong),PH153606007,85,Electricity,85
Lanao Del Sur,PH153600000,Bubonga Didagun,PH153606008,106,Electricity,106
Lanao Del Sur,PH153600000,Carigongan,PH153606011,89,Electricity,89
Lanao Del Sur,PH153600000,Bacolod,PH153606012,96,Electricity,96
Lanao Del Sur,PH153600000,Dilabayan,PH153606014,142,Electricity,142
Lanao Del Sur,PH153600000,Dimapatoy,PH153606015,87,Electricity,87
Lanao Del Sur,PH153600000,Dimayon Proper,PH153606017,64,Electricity,64
Lanao Del Sur,PH153600000,Diolangan,PH153606019,50,Electricity,50
