Bgy_Code,labels
PH153620057,0 ns
PH153621014,0 ns
PH153618090,3 cold spot
PH153638013,0 ns
PH153603018,3 cold spot
PH153617051,0 ns
PH153639007,0 ns
PH153610025,0 ns
PH153610026,0 ns
PH153611044,0 ns
PH153633014,3 cold spot
PH153621012,3 cold spot
PH153630019,0 ns
PH153616036,0 ns
PH153605011,3 cold spot
PH153638015,0 ns
PH153634025,3 cold spot
PH153610031,0 ns
PH153617052,0 ns
PH153630021,0 ns
PH153630022,0 ns
PH153638017,3 cold spot
PH153610032,0 ns
PH153619026,3 cold spot
PH153638018,3 cold spot
PH153613010,3 cold spot
PH153617032,0 ns
PH153618040,0 ns
PH153618008,0 ns
PH153614011,0 ns
PH153602010,0 ns
PH153603029,0 ns
PH153626008,3 cold spot
PH153611046,0 ns
PH153612024,3 cold spot
PH153604011,3 cold spot
PH153604015,3 cold spot
PH153604053,3 cold spot
PH153601014,3 cold spot
PH153611047,0 ns
PH153619027,3 cold spot
PH153637008,0 ns
PH153615034,0 ns
PH153636014,0 ns
PH153618041,0 ns
PH153603055,3 cold spot
PH153613040,3 cold spot
PH153614012,3 cold spot
PH153622024,0 ns
PH153635024,0 ns
PH153613021,3 cold spot
PH153601015,3 cold spot
PH153637009,0 ns
PH153610036,0 ns
PH153612052,3 cold spot
PH153613022,3 cold spot
PH153603031,0 ns
PH153619028,0 ns
PH153634052,3 cold spot
PH153617057,0 ns
PH153634048,0 ns
PH153619030,3 cold spot
PH153617058,1 hot spot
PH153626009,3 cold spot
PH153626077,3 cold spot
PH153603033,3 cold spot
PH153625013,0 ns
PH153624045,0 ns
PH153604018,3 cold spot
PH153613023,3 cold spot
PH153625012,0 ns
PH153626010,3 cold spot
PH153611052,0 ns
PH153621015,0 ns
PH153620054,0 ns
PH153613024,3 cold spot
PH153609009,0 ns
PH153614013,0 ns
PH153623022,3 cold spot
PH153626011,3 cold spot
PH153604019,3 cold spot
PH153626013,3 cold spot
PH153604020,3 cold spot
PH153611054,0 ns
PH153617060,1 hot spot
PH153618043,3 cold spot
PH153602027,0 ns
PH153602029,0 ns
PH153616044,0 ns
PH153632031,3 cold spot
PH153627035,3 cold spot
PH153627056,3 cold spot
PH153602052,3 cold spot
PH153605012,0 ns
PH153604021,3 cold spot
PH153612028,3 cold spot
PH153609010,3 cold spot
PH153613041,0 ns
PH153622026,0 ns
PH153623023,3 cold spot
PH153626065,3 cold spot
PH153633015,3 cold spot
PH153629019,0 ns
PH153634028,3 cold spot
PH153640004,0 ns
PH153619034,3 cold spot
PH153611055,0 ns
PH153612029,0 ns
PH153627036,3 cold spot
PH153627037,3 cold spot
PH153604010,3 cold spot
PH153641007,0 ns
PH153616039,0 ns
PH153603035,3 cold spot
PH153617063,0 ns
PH153627038,3 cold spot
PH153625007,3 cold spot
PH153603036,0 ns
PH153634056,3 cold spot
PH153614014,3 cold spot
PH153618091,0 ns
PH153619033,3 cold spot
PH153622027,0 ns
PH153626014,3 cold spot
PH153626016,3 cold spot
PH153617062,0 ns
PH153621017,0 ns
PH153617064,0 ns
PH153601016,0 ns
PH153609029,3 cold spot
PH153626015,3 cold spot
PH153633017,0 ns
PH153633018,3 cold spot
PH153624048,3 cold spot
PH153625015,0 ns
PH153603032,0 ns
PH153612032,0 ns
PH153633037,3 cold spot
PH153639008,0 ns
PH153615038,0 ns
PH153618044,0 ns
PH153609011,0 ns
PH153618045,0 ns
PH153612033,3 cold spot
PH153610037,0 ns
PH153605014,0 ns
PH153611058,0 ns
PH153609012,3 cold spot
PH153618047,0 ns
PH153602032,0 ns
PH153618053,3 cold spot
PH153615073,0 ns
PH153614019,3 cold spot
PH153601018,0 ns
PH153606027,3 cold spot
PH153622030,0 ns
PH153634030,0 ns
PH153620029,3 cold spot
PH153605015,3 cold spot
PH153612034,0 ns
PH153615082,0 ns
PH153613025,3 cold spot
PH153619035,3 cold spot
PH153628042,0 ns
PH153634031,3 cold spot
PH153635028,0 ns
PH153603037,3 cold spot
PH153618052,0 ns
PH153605016,3 cold spot
PH153634032,0 ns
PH153602011,0 ns
PH153602012,3 cold spot
PH153618005,3 cold spot
PH153618007,0 ns
PH153629021,0 ns
PH153626022,0 ns
PH153638030,3 cold spot
PH153605017,0 ns
PH153624055,3 cold spot
PH153626020,3 cold spot
PH153635029,0 ns
PH153628043,0 ns
PH153603056,0 ns
PH153630025,0 ns
PH153640005,0 ns
PH153623024,3 cold spot
PH153617065,0 ns
PH153638025,3 cold spot
PH153638026,0 ns
PH153604024,3 cold spot
PH153625019,0 ns
PH153626021,3 cold spot
PH153610017,0 ns
PH153606028,3 cold spot
PH153634033,3 cold spot
PH153607063,0 ns
PH153627042,3 cold spot
PH153634053,3 cold spot
PH153634054,0 ns
PH153638027,3 cold spot
PH153621018,3 cold spot
PH153633019,3 cold spot
PH153618055,0 ns
PH153615043,0 ns
PH153624057,3 cold spot
PH153627071,3 cold spot
PH153615044,0 ns
PH153630026,0 ns
PH153637010,3 cold spot
PH153631015,3 cold spot
PH153616051,0 ns
PH153631016,3 cold spot
PH153604025,3 cold spot
PH153611065,4 high outlier
PH153620030,0 ns
PH153625020,3 cold spot
PH153629022,0 ns
PH153635035,0 ns
PH153636019,0 ns
PH153611066,3 cold spot
PH153624058,0 ns
PH153618018,0 ns
PH153638029,0 ns
PH153617141,0 ns
PH153626078,3 cold spot
PH153611077,0 ns
PH153617070,0 ns
PH153617071,1 hot spot
PH153631017,0 ns
PH153631018,0 ns
PH153627043,3 cold spot
PH153615047,0 ns
PH153623025,3 cold spot
PH153605018,3 cold spot
PH153609027,0 ns
PH153627046,3 cold spot
PH153606030,3 cold spot
PH153615074,4 high outlier
PH153602053,0 ns
PH153615070,3 cold spot
PH153616054,0 ns
PH153617072,1 hot spot
PH153606031,3 cold spot
PH153602054,0 ns
PH153618061,3 cold spot
PH153639009,0 ns
PH153615075,0 ns
PH153616055,0 ns
PH153616097,0 ns
PH153616110,0 ns
PH153631020,0 ns
PH153621020,3 cold spot
PH153628046,3 cold spot
PH153606032,3 cold spot
PH153635037,0 ns
PH153630029,0 ns
PH153604022,3 cold spot
PH153632038,0 ns
PH153635061,0 ns
PH153630030,0 ns
PH153612035,0 ns
PH153626067,3 cold spot
PH153633020,0 ns
PH153611098,3 cold spot
PH153628023,3 cold spot
PH153639010,0 ns
PH153636020,3 cold spot
PH153626024,3 cold spot
PH153625021,0 ns
PH153617075,0 ns
PH153618062,3 cold spot
PH153602013,0 ns
PH153617076,1 hot spot
PH153617077,1 hot spot
PH153615049,3 cold spot
PH153606033,3 cold spot
PH153627047,3 cold spot
PH153617079,0 ns
PH153618039,3 cold spot
PH153630031,0 ns
PH153636018,3 cold spot
PH153602014,0 ns
PH153625022,0 ns
PH153637012,3 cold spot
PH153616059,0 ns
PH153617083,1 hot spot
PH153626027,3 cold spot
PH153632041,0 ns
PH153620034,4 high outlier
PH153617142,1 hot spot
PH153623026,3 cold spot
PH153603041,0 ns
PH153626012,0 ns
PH153605019,0 ns
PH153621021,3 cold spot
PH153617085,0 ns
PH153641008,0 ns
PH153601019,0 ns
PH153631021,3 cold spot
PH153620035,3 cold spot
PH153613050,0 ns
PH153603042,0 ns
PH153627049,3 cold spot
PH153625023,0 ns
PH153628047,3 cold spot
PH153629025,0 ns
PH153637014,3 cold spot
PH153605020,4 high outlier
PH153617086,0 ns
PH153626079,3 cold spot
PH153634037,3 cold spot
PH153609013,3 cold spot
PH153610018,3 cold spot
PH153630033,0 ns
PH153632042,0 ns
PH153640006,0 ns
PH153616061,0 ns
PH153624016,3 cold spot
PH153624038,3 cold spot
PH153624093,3 cold spot
PH153624064,3 cold spot
PH153606035,3 cold spot
PH153603043,3 cold spot
PH153611070,3 cold spot
PH153613026,3 cold spot
PH153617089,0 ns
PH153626032,3 cold spot
PH153614033,0 ns
PH153637013,3 cold spot
PH153603044,3 cold spot
PH153620037,3 cold spot
PH153631023,0 ns
PH153628030,3 cold spot
PH153621022,0 ns
PH153606037,3 cold spot
PH153604030,3 cold spot
PH153616102,3 cold spot
PH153614016,3 cold spot
PH153621023,3 cold spot
PH153621024,3 cold spot
PH153633021,3 cold spot
PH153604031,3 cold spot
PH153604032,3 cold spot
PH153625025,3 cold spot
PH153609053,0 ns
PH153606038,3 cold spot
PH153630034,0 ns
PH153634038,3 cold spot
PH153629026,0 ns
PH153614034,0 ns
PH153609051,0 ns
PH153625026,0 ns
PH153617090,1 hot spot
PH153609014,3 cold spot
PH153632043,0 ns
PH153618069,4 high outlier
PH153622034,0 ns
PH153625027,3 cold spot
PH153609052,3 cold spot
PH153610038,0 ns
PH153614017,3 cold spot
PH153621025,3 cold spot
PH153625028,0 ns
PH153632044,3 cold spot
PH153636022,0 ns
PH153617074,0 ns
PH153609015,0 ns
PH153605021,3 cold spot
PH153606039,3 cold spot
PH153604033,3 cold spot
PH153612038,3 cold spot
PH153614018,0 ns
PH153621026,3 cold spot
PH153603006,3 cold spot
PH153617097,0 ns
PH153617143,0 ns
PH153609016,4 high outlier
PH153604034,3 cold spot
PH153610019,0 ns
PH153617098,0 ns
PH153621028,0 ns
PH153613043,3 cold spot
PH153630035,0 ns
PH153631024,3 cold spot
PH153615053,0 ns
PH153616063,0 ns
PH153617099,0 ns
PH153604035,3 cold spot
PH153625029,0 ns
PH153625030,4 high outlier
PH153612051,0 ns
PH153606041,3 cold spot
PH153637015,3 cold spot
PH153615078,0 ns
PH153631026,0 ns
PH153605022,3 cold spot
PH153626034,3 cold spot
PH153605023,0 ns
PH153612039,0 ns
PH153632048,0 ns
PH153634041,0 ns
PH153630036,0 ns
PH153626030,3 cold spot
PH153620041,3 cold spot
PH153639011,0 ns
PH153601020,3 cold spot
PH153602055,3 cold spot
PH153634057,3 cold spot
PH153605024,0 ns
PH153606059,3 cold spot
PH153607041,0 ns
PH153609017,0 ns
PH153610033,0 ns
PH153619037,3 cold spot
PH153617101,0 ns
PH153621029,3 cold spot
PH153627050,3 cold spot
PH153625032,0 ns
PH153632050,3 cold spot
PH153633022,3 cold spot
PH153635041,0 ns
PH153636023,3 cold spot
PH153629027,0 ns
PH153629028,0 ns
PH153626080,3 cold spot
PH153627051,3 cold spot
PH153636025,0 ns
PH153602015,0 ns
PH153605025,0 ns
PH153609018,4 high outlier
PH153616111,0 ns
PH153613027,3 cold spot
PH153625033,4 high outlier
PH153637001,3 cold spot
PH153602039,0 ns
PH153603005,0 ns
PH153604056,3 cold spot
PH153606007,3 cold spot
PH153628009,3 cold spot
PH153619015,3 cold spot
PH153622020,4 high outlier
PH153629017,0 ns
PH153610012,3 cold spot
PH153620042,0 ns
PH153612043,0 ns
PH153601021,0 ns
PH153626037,3 cold spot
PH153601022,0 ns
PH153626038,3 cold spot
PH153626039,3 cold spot
PH153626040,0 ns
PH153636026,0 ns
PH153607045,0 ns
PH153606045,3 cold spot
PH153624070,3 cold spot
PH153628031,3 cold spot
PH153616071,0 ns
PH153617103,0 ns
PH153604036,3 cold spot
PH153623030,0 ns
PH153611078,0 ns
PH153633023,3 cold spot
PH153617105,0 ns
PH153635042,0 ns
PH153606060,0 ns
PH153613028,3 cold spot
PH153614020,3 cold spot
PH153622035,3 cold spot
PH153632052,0 ns
PH153637016,3 cold spot
PH153616072,0 ns
PH153631027,3 cold spot
PH153602016,0 ns
PH153629030,0 ns
PH153618060,0 ns
PH153613044,3 cold spot
PH153621030,3 cold spot
PH153621031,3 cold spot
PH153607046,0 ns
PH153622036,0 ns
PH153634045,3 cold spot
PH153633038,3 cold spot
PH153633039,3 cold spot
PH153633040,3 cold spot
PH153606048,3 cold spot
PH153624077,3 cold spot
PH153624078,3 cold spot
PH153635043,0 ns
PH153637017,3 cold spot
PH153620045,3 cold spot
PH153604037,3 cold spot
PH153621039,0 ns
PH153624082,3 cold spot
PH153617107,0 ns
PH153601023,3 cold spot
PH153607047,0 ns
