Pro_Name,Pro_Code,Bgy_Name,Bgy_Code,Variable,Value
Lanao Del Sur,PH153600000,Poktan,PH153607045,Number of School,1
Lanao Del Sur,PH153600000,Ragayan,PH153607046,Number of School,3
Lanao Del Sur,PH153600000,Samer,PH153607051,Number of School,2
Lanao Del Sur,PH153600000,Sandab Madaya,PH153607052,Number of School,7
Lanao Del Sur,PH153600000,Sundig,PH153607056,Number of School,1
Lanao Del Sur,PH153600000,Tiowi,PH153607060,Number of School,1
Lanao Del Sur,PH153600000,Timbab,PH153607062,Number of School,1
Lanao Del Sur,PH153600000,Balintad,PH153609002,Number of School,1
Lanao Del Sur,PH153600000,Campong a Raya,PH153609005,Number of School,1
Lanao Del Sur,PH153600000,Linuk,PH153609009,Number of School,3
Lanao Del Sur,PH153600000,Macabao,PH153609011,Number of School,2
Lanao Del Sur,PH153600000,Para-aba,PH153609016,Number of School,2
Lanao Del Sur,PH153600000,Baya,PH153609019,Number of School,1
Lanao Del Sur,PH153600000,Sogod Madaya,PH153609020,Number of School,1
Lanao Del Sur,PH153600000,Tabuan,PH153609021,Number of School,3
Lanao Del Sur,PH153600000,Taganonok,PH153609022,Number of School,5
Lanao Del Sur,PH153600000,Taliogon,PH153609023,Number of School,2
Lanao Del Sur,PH153600000,Sekun Matampay,PH153609030,Number of School,3
Lanao Del Sur,PH153600000,Dapaan,PH153609031,Number of School,1
Lanao Del Sur,PH153600000,Pangadapun,PH153609051,Number of School,1
Lanao Del Sur,PH153600000,Dimagaling (Dimagalin Proper),PH153610007,Number of School,1
Lanao Del Sur,PH153600000,Dimunda,PH153610008,Number of School,1
Lanao Del Sur,PH153600000,Poblacion (Kapai Proper),PH153610012,Number of School,3
Lanao Del Sur,PH153600000,Malna Proper,PH153610017,Number of School,1
Lanao Del Sur,PH153600000,Kasayanan West,PH153610026,Number of School,1
Lanao Del Sur,PH153600000,Kibolos,PH153610031,Number of School,1
Lanao Del Sur,PH153600000,Kining,PH153610032,Number of School,1
Lanao Del Sur,PH153600000,Lidasan,PH153610036,Number of School,1
Lanao Del Sur,PH153600000,Macadar,PH153610037,Number of School,3
Lanao Del Sur,PH153600000,Bacolod I,PH153611003,Number of School,3
Lanao Del Sur,PH153600000,Bantayao,PH153611008,Number of School,1
Lanao Del Sur,PH153600000,Baugan,PH153611011,Number of School,1
Lanao Del Sur,PH153600000,Buad Lumbac,PH153611019,Number of School,1
Lanao Del Sur,PH153600000,Carandangan-Mipaga,PH153611026,Number of School,1
Lanao Del Sur,PH153600000,Cormatan Langban,PH153611027,Number of School,1
Lanao Del Sur,PH153600000,Dilindongan-Cadayonan,PH153611035,Number of School,1
Lanao Del Sur,PH153600000,Lalangitun,PH153611046,Number of School,1
Lanao Del Sur,PH153600000,Lindongan Dialongana,PH153611052,Number of School,1
Lanao Del Sur,PH153600000,Lobo Basara,PH153611054,Number of School,1
Lanao Del Sur,PH153600000,Lumbac Bacayawan,PH153611055,Number of School,3
Lanao Del Sur,PH153600000,Maribo (Pob.),PH153611077,Number of School,2
Lanao Del Sur,PH153600000,Salolodun Berwar,PH153611083,Number of School,1
Lanao Del Sur,PH153600000,Sarigidan Madiar,PH153611085,Number of School,1
Lanao Del Sur,PH153600000,Taluan,PH153611091,Number of School,1
Lanao Del Sur,PH153600000,Tamlang,PH153611094,Number of School,1
Lanao Del Sur,PH153600000,Tongcopan,PH153611096,Number of School,1
